Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_13_888.jpg;0;0;1;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_13_992.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_031.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_098.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_164.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_232.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_298.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_368.jpg;0;0;0;0;99.66999;85.58897;0.000235958;56.82556;-1.475891E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_429.jpg;0;0;0;0;99.66999;85.58897;0.0002360037;56.82556;-3.010146E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_496.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_563.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_629.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_697.jpg;0;0;0;0;99.66999;85.58897;0.0002359733;56.82556;-1.987288E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_764.jpg;0;0;0;0;99.66999;85.58897;0.000236019;56.82556;-3.521543E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_829.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_897.jpg;0;0.2014804;0;0;99.67023;85.58933;0.00932677;56.82498;-4.787052E-06
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_14_964.jpg;0;0.4032393;0;0.03313735;99.67138;85.59109;0.05435269;56.83967;1.484266E-05
C:\RoboticsND\My_repo\RoboND-Rover-Project\my_dataset\IMG\robocam_2017_06_07_12_17_15_029.jpg;0;0.6007757;0;0.03536411;99.67358;85.59446;0.1372663;56.78955;9.304492E-05
